vessel_id,vessel_name,arrival_time,cargo_type,cargo_volume,delay_minutes,port_zone
4dbb843c-aa7e-4532-85ac-6a4b9143fc90,"Baker, Williams and Riddle",2025-11-01T23:56:35.052049,General,7772,41,Nord
a3951a92-b910-447b-a92e-ee3082ac6147,Morgan-Gonzales,2025-02-01T16:10:42.646259,Oil,9807,13,Ndayane
ef58616e-0f71-4c8e-a671-7b88e6948a1b,Payne PLC,2025-04-18T21:38:49.385696,Containers,6928,51,Sud
e594cc03-b66e-4d75-8677-18de7fba8b32,Reynolds-Russell,2025-03-07T11:16:19.963021,Oil,397,15,Ndayane
062e75fb-7f99-41ad-a10e-31f075f5159e,Lopez LLC,2025-03-24T16:18:38.930396,Oil,2538,74,Ndayane
12258d41-9a95-41f9-93ed-94512be10a6b,Sanders-Baker,2025-06-29T19:25:40.573279,Oil,455,58,Nord
8e4c3c7b-338b-4c26-b41a-1ae00ed4deb2,Johnston-Chandler,2025-10-01T19:43:54.455976,Bulk,1039,34,Sud
3964497b-396a-4619-835e-9c57838bf8dd,"Romero, Gray and Young",2025-02-14T11:05:59.657047,Oil,7777,63,Ndayane
6760f707-aa06-4e88-9bad-cfd61d655ef4,Howell-Fitzgerald,2025-09-06T11:43:42.774774,Bulk,9667,53,Sud
ad1db1f3-de92-465b-a30f-4c81c39f71b2,"Mitchell, Ferguson and Bennett",2025-04-13T21:00:39.356558,Containers,2777,1,Ndayane
bbd7ae0f-5309-4ac2-b713-52fe83a61804,Randall Group,2025-09-29T12:59:25.370513,General,1459,88,Sud
15774c15-5ef9-48f9-8a25-59c3e77a351e,Vega and Sons,2025-06-18T15:17:34.881985,Bulk,6429,105,Ndayane
6372a388-433d-4309-918e-bb74625a44e5,"Long, Anderson and Spears",2025-03-13T16:42:13.456787,Containers,8923,92,Ndayane
09835c85-f751-440e-a3f9-9ed2ee42c064,Welch Ltd,2025-09-13T00:04:02.246348,Oil,6000,55,Nord
4d4a9cd6-2523-4f7a-b6bd-a5a9aa941558,Johnson-West,2025-06-23T21:10:39.203159,Oil,4378,44,Sud
7a7397eb-b7f4-4f96-bfc4-099f45a31bd8,Roach-Chen,2025-04-17T18:17:01.446002,General,7790,54,Sud
65b922f3-8cbb-4313-ac89-4361bafbc11c,Walter-Goodman,2025-07-09T15:54:54.524632,General,7901,33,Sud
902d3dcb-4558-475c-84e4-da00bdad0b99,"Pena, Roberts and Alvarez",2025-07-03T12:18:25.270082,Oil,1839,41,Sud
ace5ee31-9919-40a4-8ce7-f40efd95044d,"Cummings, Torres and Roberts",2025-05-29T16:08:37.105136,Oil,3909,100,Sud
9cd5c72a-f124-4493-9a17-bf1cf3af1ac9,"Crosby, Young and Ellis",2025-08-24T23:56:11.320137,Oil,9912,110,Sud
6ae1065e-c663-4454-a5a6-be16287f23e1,"Thomas, Carpenter and Foster",2025-10-11T19:31:22.661519,General,7978,70,Sud
e4239cd9-6013-4e0b-ae5d-92b1accf77ee,Johnson Ltd,2025-04-30T08:52:19.036086,Containers,1349,50,Sud
526d860b-e27e-4797-b6cf-c3412ef9ab97,Ibarra and Sons,2025-01-26T13:18:06.781068,Bulk,9501,15,Ndayane
3aa3ca15-5f29-468e-99e6-2527b8d0fe4a,"Stewart, Long and Miller",2025-09-11T03:57:45.514848,Containers,5629,101,Ndayane
366521a3-f325-4501-afbc-061f64226055,Guzman and Sons,2025-06-30T13:59:48.159071,General,1698,97,Ndayane
9d4e19e6-5f4c-4826-8fe1-859da07919c2,"Woods, Hickman and Clark",2025-09-12T08:08:58.154565,General,6727,58,Ndayane
b24482eb-decb-49fa-baf7-65e933af31be,Cannon Inc,2025-02-20T02:10:00.444802,Oil,358,57,Nord
5cc73aeb-4851-4488-b51f-a623f90b67b9,"Lynch, Robles and Cain",2025-04-09T18:45:59.245341,Oil,9609,82,Sud
8b63944e-b648-4073-9075-11b32b8e8e14,Cantu and Sons,2025-07-04T04:07:13.374909,General,4689,107,Nord
32411195-de74-4647-baa7-de57823aa70c,"Todd, Zavala and Barr",2025-11-03T07:42:11.124484,General,6265,8,Nord
4b59ac27-6462-4131-970b-8e45c9592df1,Marshall Inc,2025-08-08T04:41:17.621314,General,3593,33,Sud
b0b5ef7d-8c78-4b7c-9738-a959c22fab24,Brown-Cook,2025-04-19T13:36:29.396994,Containers,8266,36,Nord
64c9293a-51a7-4072-aeca-9feab86d1b3c,Blair-Hall,2025-09-05T07:23:12.740598,Bulk,4283,46,Sud
c11de4ba-25f8-4a27-a48d-4a5451287fc9,Morgan Group,2025-05-22T13:15:42.468045,Containers,6935,59,Nord
685be301-9bee-464e-9b85-c874c249cac6,Schultz-Hood,2025-06-13T04:32:18.662200,Oil,2695,27,Ndayane
06f20ce1-83cb-48fb-af75-28212c24c80d,Thomas LLC,2025-05-31T21:48:31.829605,General,7156,28,Ndayane
b22468b4-8ac0-45e7-a069-754e4af489c7,Carter and Sons,2025-01-04T01:59:25.352581,General,3039,118,Ndayane
3a1838c8-7f76-4d28-b689-a110b5b67179,Howard LLC,2025-05-18T13:46:57.794246,Oil,7688,25,Sud
9d9d3f44-ad19-45ac-9b18-d99fe611e955,Young Inc,2025-07-30T04:33:17.244901,Oil,7045,44,Sud
e12f871b-1455-473a-a1d3-7629e5f57214,"Ward, Price and Doyle",2025-10-12T19:22:42.615712,General,4650,53,Sud
51969a61-8a67-4186-af90-f85783ca3cdf,Fischer-Norton,2025-03-02T11:01:37.594568,General,5785,53,Nord
48e0b5e8-f2ca-4b00-ac46-04fe42834622,Williams-Jimenez,2025-01-05T21:10:58.972865,Bulk,1149,54,Ndayane
ba1d0ef1-0b6f-4844-95e4-ddd72b353283,Weiss Inc,2025-03-12T00:37:48.071158,General,6288,106,Ndayane
d4ee9e55-d93f-431d-96aa-322ecd9212f7,Taylor Ltd,2025-05-24T18:05:11.747041,Containers,9446,70,Ndayane
6be8317e-3416-4d79-83c4-32951f9d3e86,Ingram-Nichols,2025-07-18T17:22:40.687314,Oil,5507,62,Nord
feb20c81-de9a-42f4-8e98-c47582d8d802,Jackson Inc,2025-05-14T13:44:39.108929,General,5338,68,Ndayane
84666374-468e-4fb7-96be-7cd4dc45ff55,Brown-Ramos,2025-05-14T01:46:22.392486,Containers,6612,69,Sud
9b7aecda-c68c-48e0-a221-de62e8711740,Melendez Group,2025-09-07T14:43:07.849289,Containers,1916,62,Nord
bd0c5723-7c23-413d-a48d-fe68686d8e7a,Allen-Pearson,2025-02-13T11:04:02.220146,Containers,6340,68,Ndayane
b08e14c9-44ad-4d19-be3e-8821540d53a6,Owens-Hudson,2025-05-08T08:59:56.676899,Bulk,3886,23,Sud
89ec10b6-7377-4bc3-95fb-ea7f86d9d986,"Hunter, Mccall and Franklin",2025-11-04T09:13:01.888292,Oil,2218,120,Sud
326fdd6c-669e-4b3f-8b30-f4ffde8628fa,Edwards LLC,2025-10-25T01:45:14.080094,Bulk,6350,74,Ndayane
13eb0d1d-51fe-401b-9de3-0b3ff46aafab,Wiley-Garrison,2025-04-13T13:30:55.486403,General,2430,48,Ndayane
f8a0a2a1-5f69-4606-8e4c-c7df2d635fa0,Keller-Martin,2025-01-18T06:44:28.328761,Oil,4108,1,Nord
4931d7d0-008b-4b30-858f-3d6ad7d73a69,Banks Ltd,2025-01-25T17:33:57.164885,Containers,520,106,Ndayane
627fed03-361c-4010-89b9-c5d5f7e13e10,Phillips Ltd,2025-07-27T09:59:18.765034,Bulk,1277,81,Sud
8df36071-1523-4e71-a83a-0e99e2fab642,Hudson-Fletcher,2025-10-29T09:52:44.901907,Oil,7353,114,Sud
49b732c4-03df-4f74-a37a-689b1c7cda70,Moore Ltd,2025-06-03T16:22:05.718914,Oil,7486,17,Ndayane
60262a71-036e-4537-b3c1-83e7a61fe47b,Baker-Casey,2025-03-15T03:15:17.306121,Bulk,7007,19,Ndayane
18d2ce33-0272-44cf-87b6-4f7b475e8d29,"Smith, Long and Patton",2025-05-30T09:29:03.749870,Bulk,8454,44,Sud
bb62c064-f0e5-419c-8017-5a170ceabd42,"Davidson, Simmons and Simmons",2025-02-25T22:18:41.177640,Bulk,7071,52,Nord
3270d7d0-a6d0-4454-a032-46a14ae41c43,"Burch, Jones and King",2025-08-12T17:10:59.405860,Bulk,345,43,Nord
c5bdd638-2943-4f64-92eb-fc2ba495e88e,Morgan LLC,2025-05-28T01:47:01.457823,Oil,939,19,Sud
1a789809-06c5-491f-ae96-8a5d2e8dd30a,Willis Inc,2025-04-21T08:42:41.524358,General,8881,12,Nord
e340547a-458c-4369-b330-ab708ef1140f,Becker-Sullivan,2025-02-03T08:59:36.480292,Oil,1730,20,Nord
a8f3a762-5e35-4c9e-890e-8c1e5e24740e,Ward Ltd,2025-02-24T11:43:29.785767,General,7339,23,Ndayane
b7340997-64bc-416f-aca8-ae7867715b19,Cobb Inc,2025-08-06T21:03:48.152985,Containers,5793,39,Nord
be89da1b-324e-46d6-bb7f-03134174ba0b,Rogers PLC,2025-05-19T17:41:22.679360,Oil,6819,41,Nord
5ba84c5f-9b4f-4064-8a36-6047d899b58b,Wright Group,2025-01-17T04:51:55.184128,Oil,535,18,Nord
e2a92e79-16ef-4d44-a25d-31d53af41ebd,Washington-Hogan,2025-03-19T07:39:36.514830,General,2728,104,Nord
ad427da9-941d-492e-bcd9-1033bf8810e8,"Ayala, Wilson and Alexander",2025-01-23T12:05:53.587593,Containers,3724,118,Sud
7546287d-206b-45c9-9ea2-9dd826098bb2,"Warren, Gonzalez and Griffith",2025-03-26T00:49:52.243452,General,342,17,Sud
f053367c-6600-4986-91b0-d59c2e6d1877,Nash-Rogers,2025-02-20T20:45:14.592720,Bulk,6269,120,Nord
19ff54ad-d63e-445f-a8ee-ceb44a97e0da,Green LLC,2025-07-17T21:19:20.649725,Containers,425,72,Nord
183f2351-a213-4516-a827-92be36bbfed1,Marks-Cline,2025-04-13T09:59:56.609065,Oil,6198,71,Sud
2aed7e7e-b885-4b78-8d38-476049c04566,Walls LLC,2025-09-14T08:32:32.070215,Bulk,4883,5,Nord
277b3954-2ba6-42f3-bd73-63a5682b1135,Dalton Group,2025-02-21T06:44:21.589795,Oil,685,43,Sud
891e9388-2a5d-45e2-bf09-ec80da0b376e,"Moore, Chase and Perry",2025-05-28T11:21:58.135412,Bulk,4606,31,Ndayane
05e3f226-1d54-496c-98e0-363e323d6091,King and Sons,2025-05-10T10:34:17.013781,Oil,1337,26,Nord
d7bf491c-c251-462c-a032-5034498140e1,"Johnson, Stevens and Fisher",2025-08-11T15:28:55.561210,General,1231,82,Nord
189b7a23-807d-4622-b02d-f2c7f5fc8e5e,"Thomas, Brown and Rodriguez",2025-08-12T05:49:33.931488,Oil,8164,27,Ndayane
